id,field_id,image_from,created_at,last_modified,layer_name,bbox,cloud_coverage
43665c78-7d05-454b-af07-aba8ba1c24bc,6a3a8afd-856b-4ef8-933e-539dc1be1034,2020-04-21,2020-04-24 02:50:33.276190,2021-03-24 04:52:01.550738,NDVI,"[10.138927252502043, 51.00320415028591, 10.140589927907115, 51.00457234669955]",0.0000
357104da-86fe-4c73-a92b-855148876441,de9382bb-4c80-4806-a252-87e870bda106,2020-04-21,2020-06-11 18:47:50.731444,2021-03-24 04:52:01.587925,NDWI,"[34.70550667146509, 51.13526160762747, 34.75484860258241, 51.144655062791465]",1.0000
2587bf97-deeb-4ab6-a400-b7eec842fd4b,24c6a675-42e4-4c45-bbe3-22424cd85931,2020-01-26,2020-04-20 20:16:56.230608,2021-03-24 04:52:01.659448,NDVI,"[5.83646957, 50.92232852, 5.83862992, 50.92490924]",0.7600
cbbd0ae7-12ef-4e06-98ab-b83a80924806,de9382bb-4c80-4806-a252-87e870bda106,2020-04-24,2020-06-11 18:48:43.756911,2021-03-24 04:52:01.701703,NDWI,"[34.70550667146509, 51.13526160762747, 34.75484860258241, 51.144655062791465]",1.0000
70407322-5b29-41ec-8e45-894ff99eb1aa,3c1f1ecc-1167-4341-9f40-31ebf62b860a,2019-11-09,2020-05-31 12:42:52.589552,2021-03-24 04:52:01.748396,NDVI,"[8.640701037576207, 52.082876689499926, 8.6431835052135, 52.08570742745613]",0.9060
720d736e-0cb3-4c14-bbf8-26eae9cd009c,3c1f1ecc-1167-4341-9f40-31ebf62b860a,2019-11-21,2020-05-31 12:42:47.905054,2021-03-24 04:52:01.783271,NDVI,"[8.640701037576207, 52.082876689499926, 8.6431835052135, 52.08570742745613]",1.0000
40cb0055-66a9-4970-a899-2fd5a6067eb8,24c6a675-42e4-4c45-bbe3-22424cd85931,2020-02-02,2020-04-20 20:17:00.582508,2021-03-24 04:52:01.819573,NDVI,"[5.83646957, 50.92232852, 5.83862992, 50.92490924]",1.0000
13c36016-8132-42bf-bae5-2ca92c371eeb,8ff638a3-3487-400e-b6d1-f1e9e7a73dd5,2021-05-12,2021-05-16 01:32:32.000300,2021-05-16 01:32:32.000300,NDWI,"[7.268462799871514, 53.386806162877264, 7.273676087777261, 53.386806162877264, 7.273676087777261, 53.38407689077695, 7.268462799871514, 53.38407689077695]",0.0000
22cf0b92-ac8a-4ca9-8ff8-2e1085e1f1f5,8ff638a3-3487-400e-b6d1-f1e9e7a73dd5,2021-05-12,2021-05-16 01:32:32.001187,2021-05-16 01:32:32.001187,TRUECOLOR,"[7.268462799871514, 53.386806162877264, 7.273676087777261, 53.386806162877264, 7.273676087777261, 53.38407689077695, 7.268462799871514, 53.38407689077695]",0.0000
93ec55e6-583a-4b19-b721-5be0e045bc12,8ff638a3-3487-400e-b6d1-f1e9e7a73dd5,2021-05-12,2021-05-16 01:32:32.002016,2021-05-16 01:32:32.002016,NDVI,"[7.268462799871514, 53.386806162877264, 7.273676087777261, 53.386806162877264, 7.273676087777261, 53.38407689077695, 7.268462799871514, 53.38407689077695]",0.0000
